id,family,citation,source,source_codepoints,expected_braille,expected_dot_notation,accepted_braille,accepted_dot_notation,evidence_tier,official_example_available,notes,gap_classification,typeform_spec,back_test,n_a_grade
alphabet_lower_a,Alphabet,4.1,a,U+0061,⠁,1,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_b,Alphabet,4.1,b,U+0062,⠃,12,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_c,Alphabet,4.1,c,U+0063,⠉,14,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_d,Alphabet,4.1,d,U+0064,⠙,145,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_e,Alphabet,4.1,e,U+0065,⠑,15,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_f,Alphabet,4.1,f,U+0066,⠋,124,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_g,Alphabet,4.1,g,U+0067,⠛,1245,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_h,Alphabet,4.1,h,U+0068,⠓,125,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_i,Alphabet,4.1,i,U+0069,⠊,24,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_j,Alphabet,4.1,j,U+006A,⠚,245,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_k,Alphabet,4.1,k,U+006B,⠅,13,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_l,Alphabet,4.1,l,U+006C,⠇,123,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_m,Alphabet,4.1,m,U+006D,⠍,134,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_n,Alphabet,4.1,n,U+006E,⠝,1345,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_o,Alphabet,4.1,o,U+006F,⠕,135,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_p,Alphabet,4.1,p,U+0070,⠏,1234,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_q,Alphabet,4.1,q,U+0071,⠟,12345,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_r,Alphabet,4.1,r,U+0072,⠗,1235,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_s,Alphabet,4.1,s,U+0073,⠎,234,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_t,Alphabet,4.1,t,U+0074,⠞,2345,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_u,Alphabet,4.1,u,U+0075,⠥,136,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_v,Alphabet,4.1,v,U+0076,⠧,1236,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_w,Alphabet,4.1,w,U+0077,⠺,2456,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_x,Alphabet,4.1,x,U+0078,⠭,1346,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_y,Alphabet,4.1,y,U+0079,⠽,13456,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_lower_z,Alphabet,4.1,z,U+007A,⠵,1356,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_a,Alphabet,4.1,A,U+0041,⠠⠁,6 1,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_b,Alphabet,4.1,B,U+0042,⠠⠃,6 12,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_c,Alphabet,4.1,C,U+0043,⠠⠉,6 14,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_d,Alphabet,4.1,D,U+0044,⠠⠙,6 145,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_e,Alphabet,4.1,E,U+0045,⠠⠑,6 15,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_f,Alphabet,4.1,F,U+0046,⠠⠋,6 124,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_g,Alphabet,4.1,G,U+0047,⠠⠛,6 1245,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_h,Alphabet,4.1,H,U+0048,⠠⠓,6 125,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_i,Alphabet,4.1,I,U+0049,⠠⠊,6 24,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_j,Alphabet,4.1,J,U+004A,⠠⠚,6 245,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_k,Alphabet,4.1,K,U+004B,⠠⠅,6 13,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_l,Alphabet,4.1,L,U+004C,⠠⠇,6 123,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_m,Alphabet,4.1,M,U+004D,⠠⠍,6 134,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_n,Alphabet,4.1,N,U+004E,⠠⠝,6 1345,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_o,Alphabet,4.1,O,U+004F,⠠⠕,6 135,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_p,Alphabet,4.1,P,U+0050,⠠⠏,6 1234,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_q,Alphabet,4.1,Q,U+0051,⠠⠟,6 12345,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_r,Alphabet,4.1,R,U+0052,⠠⠗,6 1235,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_s,Alphabet,4.1,S,U+0053,⠠⠎,6 234,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_t,Alphabet,4.1,T,U+0054,⠠⠞,6 2345,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_u,Alphabet,4.1,U,U+0055,⠠⠥,6 136,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_v,Alphabet,4.1,V,U+0056,⠠⠧,6 1236,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_w,Alphabet,4.1,W,U+0057,⠠⠺,6 2456,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_x,Alphabet,4.1,X,U+0058,⠠⠭,6 1346,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_y,Alphabet,4.1,Y,U+0059,⠠⠽,6 13456,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
alphabet_upper_z,Alphabet,4.1,Z,U+005A,⠠⠵,6 1356,,,OFFICIAL,YES,Direct alphabet table entry.,,,YES,NO
word_hello,Alphabet,"4.1, 2.5.5",hello,U+0068 U+0065 U+006C U+006C U+006F,⠓⠑⠇⠇⠕,125 15 123 123 135,,,DERIVED,YES,,,,YES,NO
word_braille_validator,Alphabet,"4.1, 2.5.5",Braille Validator,U+0042 U+0072 U+0061 U+0069 U+006C U+006C U+0065 U+0020 U+0056 U+0061 U+006C U+0069 U+0064 U+0061 U+0074 U+006F U+0072,⠠⠃⠗⠁⠊⠇⠇⠑⠀⠠⠧⠁⠇⠊⠙⠁⠞⠕⠗,6 12 1235 1 24 123 123 15 0 6 1236 1 123 24 145 1 2345 135 1235,,,DERIVED,YES,,,,YES,NO
word_ordinary,Alphabet,"4.1, 2.5.5",ordinary words,U+006F U+0072 U+0064 U+0069 U+006E U+0061 U+0072 U+0079 U+0020 U+0077 U+006F U+0072 U+0064 U+0073,⠕⠗⠙⠊⠝⠁⠗⠽⠀⠺⠕⠗⠙⠎,135 1235 145 24 1345 1 1235 13456 0 2456 135 1235 145 234,,,DERIVED,YES,,,,YES,NO
cap_isolated,Capitalization,8.3.1,A,U+0041,⠠⠁,6 1,,,OFFICIAL,YES,Also covered by the alphabet list.,,,YES,NO
